name,price,specification,description
Brown Leather Nagra,"As low asTk 2,452.38","['Brown', 'Cut Work', 'Nagra Sandal (Closed)', 'Genuine Leather Lining', 'Genuine Leather Sole', 'Close Toed', 'Without Back Strap', '1 Inch', 'Clean With Soft Dry Brush And Keep It Dry Place']",Brown leather nagra with punch hole hood and comfortable footbed.
Moss Green Printed and Embroidered Endi Silk Panjabi,"As low asTk 6,716.28","['Endi Silk', 'Hand Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Dry Clean']",Moss green printed endi silk panjabi with coffee and green embroidery. Features in-seam side pockets.
Bronze Brown Embroidered Endi Silk Panjabi,"As low asTk 15,255.81","['Endi Silk', 'Exclusive Hand Embroidery', 'High Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Dry Clean']",Bronze brown endi silk panjabi with matching embroidery. Features in-seam side pockets.
Chocolate Striped and Embroidered Endi Silk Panjabi,"As low asTk 5,079.07","['Endi Silk', 'Hand Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Dry Clean']","Chocolate striped endi silk panjabi with purple, grey and shades of blue embroidery. Features dual side in-seam pockets."
Teal Ombre Dyed and Embroidered Endi Silk Panjabi,"As low asTk 5,948.84","['Endi Silk', 'Hand Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Dry Clean']",Teal ombre dyed endi silk panjabi with brown and green embroidery.
Bronze Brown Embroidered Endi Silk Panjabi,"As low asTk 6,158.14","['Endi Silk', 'Hand Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Dry Clean']",Bronze brown endi silk panjabi with brown embroidery. Features in-seam side pockets.
Off White Embroidered Endi Silk Panjabi,"As low asTk 5,074.42","['Endi Silk', 'Hand Embroidery', 'High Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Dry Clean']",Off white endi silk panjabi with pastel brown embroidery. Features in-seam side pockets.
Mocha Embroidered Endi Silk Panjabi,"As low asTk 4,051.16","['Endi Silk', 'Exclusive Hand Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Dry Clean']",Mocha endi silk panjabi with mocha and yellow embroidery. Features in-seam side pockets.
Purple Embroidered Endi Silk Panjabi,"As low asTk 5,069.77","['Endi Silk', 'Hand Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Dry Clean']",Purple endi silk panjabi with shades of brown embroidery. Features in-seam side pockets.
Teal Blue Embroidered Endi Cotton Panjabi,"As low asTk 4,130.23","['Endi Cotton', 'Hand Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Hand Wash With Mild Detergent In Cold Water']",Teal blue endi cotton panjabi with grey embroidery. Features in-seam side pockets.
Dark Coffee Printed and Embroidered Endi Silk Panjabi,"As low asTk 6,288.37","['Endi Silk', 'Exclusive Hand Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Dry Clean']",Dark coffee printed endi silk panjabi with black embroidery. Features in-seam side pockets.
Coffee Embroidered Viscose-Cotton Slim Fit Panjabi,"As low asTk 3,120.93","['Viscott (Viscose & Cotton)', 'Hand Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Hand Wash With Mild Detergent In Cold Water']",Coffee viscose-cotton slim fit panjabi with black and brown embroidery.
Midnight Blue All Over Heavy Embroidered Sherwani Cut Cotton Panjabi,"As low asTk 14,023.26","['Cotton', 'Hand Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Hand Wash With Mild Detergent In Cold Water']","Midnight blue sherwani cut cotton panjabi. All over heavy green, blue, eggplant, sky blue, brown and black embroidery on front and back. Metal loop closure at neck and slit below waist."
Green Embroidered Cotton Panjabi,"As low asTk 4,860.47","['Cotton', 'Exclusive Hand Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Hand Wash With Mild Detergent In Cold Water']",Green textured cotton panjabi with shades of green embroidery. Features in-seam side pockets.
White Slim Fit Embroidered Textured Viscose-Cotton Panjabi,"As low asTk 3,795.35","['Viscott (Viscose & Cotton)', 'Exclusive Hand Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Hand Wash With Mild Detergent In Cold Water']",White dobby textured viscose-cotton slim fit panjabi with pastel green and eggshell embroidery. Features in-seam side pockets.
Navy Blue Embroidered And Textured Viscose-Cotton Panjabi,"As low asTk 4,758.14","['Viscott (Viscose & Cotton)', 'Exclusive Hand Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Hand Wash With Mild Detergent In Cold Water']",Navy blue jacquard textured viscose-cotton panjabi with black and navy blue embroidery. Features in-seam side pockets.
Blue Ombre Dyed And Embroidered Silk-Cotton Panjabi,"As low asTk 10,855.81","['SICO (Silk & Cotton)', 'Exclusive Hand Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Dry Clean']",Shades of blue ombre dyed silk-cotton panjabi with embroidery detailing.
Aqua Embroidered Endi Silk-Cotton Panjabi,"As low asTk 8,651.16","['SICO (Silk & Cotton)', 'Exclusive Hand Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Dry Clean']",Aqua endi silk-cotton panjabi with green embroidery detailing. Features in-seam side pockets.
Blue Embroidered Joysree Silk Panjabi,"As low asTk 3,739.53","['Joysree Silk', 'Exclusive Hand Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Dry Clean']",Blue joysree silk panjabi with matching embroidery detailing. Features in-seam side pockets.
Yellow Ochre Embroidered Viscose-Cotton Panjabi,"As low asTk 2,404.65","['Viscott (Viscose & Cotton)', 'Exclusive Hand Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Clean With Soft Dry Brush And Keep It In a Dry Place']",Yellow ochre viscose-cotton panjabi with embroidery. Features in-seam side pockets.
