name,price,specification,description
Black Cotton Slim Fit Short Kurta,As low asTk 874.42,"['Cotton', 'Band Collar', 'Chest And Side Pocket', 'Side Open', 'Full Sleeve', 'Short', 'Hand Wash With Mild Detergent In Cold Water']",Black cotton slim fit short kurta. Features in-seam side pockets.
Black Textured Cotton Slim Fit Short Kurta,"As low asTk 1,013.95","['Cotton', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Short', 'Hand Wash With Mild Detergent In Cold Water']",Black textured cotton slim fit short kurta. Features in-seam side pockets.
Navy Blue Textured Cotton Slim Fit Short Kurta,As low asTk 879.07,"['Cotton', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Short', 'Hand Wash With Mild Detergent In Cold Water']",Navy blue textured cotton slim fit short kurta. Features in-seam side pockets.
Beige/Pink Printed Cotton Slim Fit Short Kurta,"As low asTk 1,358.14","['Cotton', 'Digital Print', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Short', 'Hand Wash With Mild Detergent In Cold Water']","White cotton slim fit short kurta with beige, pink and teal prints. Features in-seam side pockets."
Yellow Printed Satin Cotton Short Kurta,"As low asTk 1,609.30","['Satin', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Short', 'Hand Wash With Mild Detergent In Cold Water']",Yellow printed satin cotton short kurta. Features in-seam side pockets.
Orange Printed Satin Cotton Short Kurta,"As low asTk 1,609.30","['Satin', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Short', 'Hand Wash With Mild Detergent In Cold Water']",Orange printed satin cotton short kurta. Features in-seam side pockets.
Yellow Ochre Cotton Slim Fit Short Kurta,As low asTk 902.33,"['Cotton', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Short', 'Hand Wash With Mild Detergent In Cold Water']",Yellow ochre cotton slim fit short kurta with matching buttons. Features in-seam side pockets.
Honey Yellow Mixed Viscose Slim Fit Short Kurta,As low asTk 939.53,"['Mixed Viscose', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Short', 'Hand Wash With Mild Detergent In Cold Water']",Honey yellow mixed viscose slim fit short kurta. Features in-seam side pockets.
Mustard Viscose Slim Fit Short Kurta,As low asTk 846.51,"['Viscose', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Short', 'Hand Wash With Mild Detergent In Cold Water']",Mustard viscose slim fit short kurta with black prints. Features in-seam side pockets.
Brown Dobby Textured Cotton Slim Fit Short Kurta,"As low asTk 1,046.51","['Cotton', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Short', 'Hand Wash With Mild Detergent In Cold Water']",Brown dobby textured cotton slim fit short kurta. Features in-seam side pockets.
Brown Cotton Slim Fit Short Kurta,As low asTk 939.53,"['Cotton', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Short', 'Hand Wash With Mild Detergent In Cold Water']",Brown cotton slim fit short kurta. Features in-seam side pockets.
Brick Red Cotton Slim Fit Short Kurta,"As low asTk 1,311.63","['Cotton', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Short', 'Hand Wash With Mild Detergent In Cold Water']",Brick red dobby textured cotton slim fit short kurta. Features in-seam side pockets.
Grey Cotton Slim Fit Short Kurta,"As low asTk 1,186.05","['Cotton', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Short', 'Hand Wash With Mild Detergent In Cold Water']",Grey cotton slim fit short kurta. Features in-seam side pockets.
Multicolour Printed Ramie Slim Fit Short Kurta,As low asTk 902.33,"['Ramie Cotton', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Short', 'Hand Wash With Mild Detergent In Cold Water']",Multicolour printed ramie cotton slim fit short kurta. Features in-seam side pockets.
Beige Check Printed Cotton Kurta,As low asTk 781.40,"['Cotton', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Short', 'Hand Wash With Mild Detergent In Cold Water']",Beige cotton kurta with multicolour check prints. Features in-seam side pockets.
Black Polo Shirt,As low asTk 660.47,"['Mixed Cotton Pique', '220 Approx.', 'Shirt Collar', 'Half Sleeve', 'Clean With Soft Dry Brush And Keep It In a Dry Place']",Black knit polo shirt with white and grey striped collar. Feature with v shape neck
Black Printed Cotton Coaty,As low asTk 888.37,"['Cotton', 'Screen Print', 'Band Collar', 'Sleeveless', 'Short', 'Dry Clean']",Black cotton coaty with grey prints. Features pockets.
Rust Printed Cotton Shirt,As low asTk 506.98,"['Cotton', 'Screen Print', 'Shirt Collar', 'Half Sleeve', 'Clean With Soft Dry Brush And Keep It In a Dry Place']","Rust cotton shirt with yellow, black and blue prints. Features chest pocket."
Grey Printed Cotton Shirt,As low asTk 460.47,"['Cotton', 'Screen Print', 'Shirt Collar', 'Half Sleeve', 'Clean With Soft Dry Brush And Keep It In a Dry Place']","Grey cotton shirt with blue, red, grey and yellow prints. Features chest pocket."
Salmon Pink Printed Cotton Shirt,As low asTk 595.35,"['Cotton', 'Screen Print', 'Shirt Collar', 'Full Sleeve', 'Clean With Soft Dry Brush And Keep It In a Dry Place']",Salmon pink cotton shirt with blue prints. Features chest pocket.
Blue Printed and Embroidered Cotton Fatua,As low asTk 874.42,"['Cotton', 'Hand Embroidery', 'Band Collar', 'Front Pocket', 'Half Sleeve', 'Clean With Soft Dry Brush And Keep It In a Dry Place']",Blue printed cotton fatua with white and golden embroidery. Features two pockets.
Light Aqua Embroidered Viscose-Cotton Panjabi Pajama Set,"As low asTk 1,651.16","['Viscott (Viscose & Cotton)', 'Hand Embroidery', 'Pant One Cut', 'Long', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Elastic Waist', 'Clean With Soft Dry Brush And Keep It In a Dry Place']","Light aqua viscose-cotton panjabi with green and slate blue embroidery. Comes with matching white viscose-cotton pajama. Features elastic waist, drawstring and in-seam side pockets."
Black Striped Printed and Embroidered Silk Panjabi Pajama Set,"As low asTk 3,111.63","['Silk', 'Hand Embroidery', 'Pant One Cut', 'Long', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Elastic Waist', 'Dry Clean']","Black embroidered silk panjabi with green stripe. Comes with matching viscose-cotton pajama. Features elastic waist, drawstring and in-seam side pockets."
Ivory Printed Endi Cotton Panjabi,"As low asTk 2,000.00","['Endi Cotton', 'Screen Print', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Dry Clean']",Ivory endi cotton panjabi with yellow prints. Features in-seam side pockets.
Green Printed Viscose-Cotton Panjabi,As low asTk 860.47,"['Viscott (Viscose & Cotton)', 'Screen Print', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Clean With Soft Dry Brush And Keep It In a Dry Place']","Green viscose-cotton panjabi with yellow, blue and green prints. Features in-seam side pockets."
Fuchsia Embroidered Viscose-Cotton Panjabi,"As low asTk 1,204.65","['Viscott (Viscose & Cotton)', 'Hand Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Clean With Soft Dry Brush And Keep It In a Dry Place']",Fuchsia viscose-cotton panjabi with dusty pink embroidery. Features in-seam side pockets.
Orange Viscose Panjabi,As low asTk 720.93,"['Viscose', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Clean With Soft Dry Brush And Keep It In a Dry Place']",Orange viscose panjabi with stylish button closer. Features in-seam side pockets.
Violet Viscose-Cotton Panjabi,As low asTk 609.30,"['Viscott (Viscose & Cotton)', 'Band Collar', 'Chest And Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Clean With Soft Dry Brush And Keep It In a Dry Place']",Violet viscose-cotton panjabi with prints in neck. Features in-seam side pockets.
Sea Green Embroidered Cotton Panjabi,"As low asTk 1,079.07","['Cotton', 'Hand Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Clean With Soft Dry Brush And Keep It In a Dry Place']",Sea green cotton panjabi with black and silver embroidery. Features in-seam side pockets.
Chocolate Embroidered Silk Panjabi,"As low asTk 2,344.19","['Silk', 'Hand Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Dry Clean']","Chocolate silk panjabi with red, blue and golden embroidery. Features in-seam side pockets."
Blue Tie-Dye Printed Silk Panjabi,"As low asTk 2,502.33","['Silk', 'Tie & Dye', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Dry Clean']",Shades of blue tie-dyed silk panjabi with blue printed. Features in-seam side pockets.
Fern Green Erri Embroidered Silk Panjabi,"As low asTk 2,525.58","['Silk', 'Erri Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Dry Clean']","Fern green silk panjabi with red, green, pink and golden erri embroidery detailing. Features in-seam side pockets."
Peach Embroidered Mixed Cotton Frock,As low asTk 920.93,"['Mixed Cotton', 'Machine Embroidery', 'Band Collar', 'Elbow Sleeve', 'Medium', 'Hand Wash With Mild Detergent In Cold Water']",Peach mixed cotton frock with white embroidery
Pink Embroidered Mixed Cotton Frock,As low asTk 800.00,"['Mixed Cotton', 'Machine Embroidery', 'Kimono Sleeve', 'Short', 'Hand Wash With Mild Detergent In Cold Water']",Pink mixed cotton frock with purple and blue embroidery.
Yellow Printed And Embroidered Voile Coaty,"As low asTk 1,344.19","['Voile', 'Machine Embroidery', '3-Quarter Sleeve', 'Long', 'Hand Wash With Mild Detergent In Cold Water']","Yellow embroidered voile coaty with red, green, golden maroon, orange and beige prints."
Cyan Printed And Embroidered Mixed Cotton Frock,"As low asTk 1,669.77","['Mixed Cotton', 'Machine Embroidery', 'V Neck', 'Elbow Sleeve', 'Long', 'Hand Wash With Mild Detergent In Cold Water']",Cyan printed mixed cotton frock with grey embroidery.
Blue Printed And Embroidered Linen Frock,"As low asTk 1,339.53","['Linen', 'Machine Embroidery', 'Square Neck', '3-Quarter Sleeve', 'Long', 'Hand Wash With Mild Detergent In Cold Water']",Blue and white printed linen frock with midnight blue embroidery.
Yellow Printed And Embroidered Mixed Cotton Frock,"As low asTk 1,567.44","['Mixed Cotton', 'Machine Embroidery', 'Round Neck', 'Butterfly Sleeve', 'Long', 'Hand Wash With Mild Detergent In Cold Water']",Yellow printed mixed cotton frock with yellow embroidery.
Light Grey Printed And Embroidered Mixed Cotton Frock,"As low asTk 1,790.70","['Mixed Cotton', 'Machine Embroidery', 'Square Neck', '3-Quarter Sleeve', 'Long', 'Hand Wash With Mild Detergent In Cold Water']",Light grey printed mixed cotton frock with purple embroidery.
Mauve Textured Linen Frock With Coaty,"As low asTk 1,576.74","['Linen', 'Machine Embroidery', 'Half Sleeve', 'Long', 'Hand Wash With Mild Detergent In Cold Water']",Mauve textured linen frock. Comes with black embroidered voile coaty.
Blue Printed And Embroidered Cotton Frock,"As low asTk 2,316.28","['Cotton', 'Machine Embroidery', 'Round Neck', 'Half Sleeve', 'Long', 'Hand Wash With Mild Detergent In Cold Water']",Blue printed cotton frock with pastel blue embroidery
Pink/White Printed Mixed Cotton Frock,"As low asTk 1,218.60","['Mixed Cotton', 'V Neck', 'Cap Sleeve', 'Long', 'Hand Wash With Mild Detergent In Cold Water']","Pink and white mixed cotton frock with orange, yellow, grey, brown prints."
Orange Printed And Embroidered Linen Shalwar Kameez Set,"As low asTk 2,311.63","['Linen', 'Machine Embroidery', 'Palazzo', 'Long', '3-Quarter Sleeve', 'Long', 'Elastic Waist', 'Hand Wash With Mild Detergent In Cold Water']",Orange printed linen kameez with yellow and orange embroidery. Comes with orange linen shalwar and matching tie-dyed georgette dupatta.
Yellow Printed Linen Shalwar Kameez Set,"As low asTk 1,795.35","['Linen', 'Screen Print', 'Palazzo', 'Long', 'Shirt Collar', '3-Quarter Sleeve', 'Medium', 'Elastic Waist', 'Hand Wash With Mild Detergent In Cold Water']","Yellow linen kameez with purple, blue, orange and white prints. Comes with matching printed linen shalwar and white georgette dupatta."
Watermelon Printed And Embroidered Linen Shalwar Kameez Set,"As low asTk 2,320.93","['Linen', 'Machine Embroidery', 'Dhoti Shalwar', 'Long', 'Round Neck', '3-Quarter Sleeve', 'Long', 'Elastic Waist', 'Hand Wash With Mild Detergent In Cold Water']","Watermelon printed linen kameez with turquoise, cyan, red and white embroidery. Comes with matching printed linen shalwar and matching tie-dyed georgette dupatta."
Red-Green Printed And Embroidered Linen Shalwar Kameez Set,"As low asTk 2,320.93","['Linen', 'Machine Embroidery', 'Palazzo', 'Long', 'Round Neck', '3-Quarter Sleeve', 'Long', 'Elastic Waist', 'Hand Wash With Mild Detergent In Cold Water']",Red-green printed linen kameez with brown and golden embroidery. Comes with red linen shalwar and green tie-dyed georgette dupatta
Green/White Tie-Dye Printed And Embroidered Linen Shalwar Kameez,"As low asTk 2,083.72","['Linen', 'Machine Embroidery', 'Palazzo', 'Long', 'Round Neck', '3-Quarter Sleeve', 'Long', 'Elastic Waist', 'Hand Wash With Mild Detergent In Cold Water']",Green-white tie-dye printed linen kameez with white and mustard embroidery. Comes with deep green printed linen shalwar and turquoise tie-dyed georgette dupatta.
White Printed Linen Shalwar Kameez Set,"As low asTk 2,246.51","['Linen', 'Machine Embroidery', 'Palazzo', 'Long', 'V Neck', '3-Quarter Sleeve', 'Long', 'Elastic Waist', 'Hand Wash With Mild Detergent In Cold Water']",White and turquoise printed linen kameez with white embroidery. Comes with matching tie-dyed linen shalwar and turquoise printed georgette dupatta
Red Tie-Dyed and Printed Linen Shalwar Kameez Set,"As low asTk 2,651.16","['Linen', 'Block Print', 'Sharara Pants', 'Long', 'V Neck', '3-Quarter Sleeve', 'Long', 'Elastic Waist', 'Hand Wash With Mild Detergent In Cold Water']","Red printed linen kameez. Comes with blue printed linen shalwar and red, blue tie-dyed voile dupatta"
Pastel Blue Printed And Embroidered Linen Ghagra Choli Set,"As low asTk 2,167.44","['Linen', 'Machine Embroidery', 'Flared Skirt', 'Ankle Length', 'V Neck', 'Butterfly Sleeve', 'Short', 'Elastic Waist', 'Hand Wash With Mild Detergent In Cold Water']",Pastel blue printed linen choli with matching embroidery. Comes with matching printed ghagra and blue tie-dyed georgette dupatta.
Mint Green Printed And Embroidered Linen Ghagra Choli Set,"As low asTk 3,111.63","['Linen', 'Machine Embroidery', 'Flared Skirt', 'Ankle Length', 'Band Collar', '3-Quarter Sleeve', 'Short', 'Elastic Waist', 'Hand Wash With Mild Detergent In Cold Water']",Mint green printed linen choli with multicolour embroidery. Comes with green printed voile ghagra and black printed georgette dupatta.
Blue Printed Knit T-Shirt,As low asTk 358.14,"['Single Jersey Knit Cotton', 'Screen Print', '180 Approx.', 'Round Neck', 'Half Sleeve', 'Clean With Soft Dry Brush And Keep It In a Dry Place']","Blue single jersey knit cotton t-shirt with white, sky blue and red print. Features rib-knit round neck."
Turquoise Striped Polo Shirt,As low asTk 572.09,"['Mixed Cotton Pique', '220 Approx.', 'Shirt Collar', 'Half Sleeve', 'Clean With Soft Dry Brush And Keep It In a Dry Place']",Turquoise knit polo shirt. Feature two button placket.
Sky Blue Printed Cotton Shirt,As low asTk 372.09,"['Viscott (Viscose & Cotton)', 'Screen Print', 'Shirt Collar', 'Half Sleeve', 'Clean With Soft Dry Brush And Keep It In a Dry Place']",Sky blue cotton shirt with multicolour prints. Features chest pocket.
Salmon Pink Printed Cotton Shirt,As low asTk 418.60,"['Cotton', 'Screen Print', 'Shirt Collar', 'Chest Pocket', 'Half Sleeve', 'Clean With Soft Dry Brush And Keep It In a Dry Place']",Salmon pink cotton shirt with black prints. Features chest pocket.
Blue Tie-Dye Printed Cotton Fatua,As low asTk 669.77,"['Cotton', 'Tie & Dye', 'Band Collar', 'Front Pocket', 'Half Sleeve', 'Clean With Soft Dry Brush And Keep It In a Dry Place']",Blue and green tie-dye printed cotton fatua. Features two pockets.
Brick Red Dual Tone Embroidered Silk Panjabi Pajama Set,"As low asTk 2,013.95","['Silk', 'Hand Embroidery', 'Pant One Cut', 'Long', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Elastic Waist', 'Clean With Soft Dry Brush And Keep It In a Dry Place']","Brick red and grey dual tone silk panjabi with yellow, black, golden and turquoise embroidery. Comes with matching white cotton pajama. Features elastic waist, drawstring and in-seam side pockets."
Blue/Purple Striped Printed and Embroidered Silk Panjabi Pajama Set,"As low asTk 1,930.23","['Silk', 'Machine Embroidery', 'Pant One Cut', 'Long', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Elastic Waist', 'Dry Clean']","Shades of blue, purple, violet stripe printed silk panjabi with silver embroidery. Comes with matching white cotton pajama. Features elastic waist, drawstring and in-seam side pockets."
Green Printed Cotton Panjabi Pajama Set,As low asTk 888.37,"['Cotton', 'Hand Embroidery', 'Pant One Cut', 'Long', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Elastic Waist', 'Clean With Soft Dry Brush And Keep It In a Dry Place']","Green printed cotton panjabi with multicolour prints. Comes with matching white viscose-cotton pajama. Features elastic waist, drawstring and in-seam side pockets."
Grey Striped Mixed Cotton Panjabi Pajama Set,As low asTk 786.05,"['Viscott (Viscose & Cotton)', 'Pant One Cut', 'Long', 'Band Collar', 'Side Pocket', 'Side Open', 'Roll Tab Full Sleeve', 'Long', 'Elastic Waist', 'Clean With Soft Dry Brush And Keep It In a Dry Place']","Grey viscose-cotton panjabi. Comes with matching white viscose-cotton pajama. Features elastic waist, drawstring and in-seam side pockets."
Copper Embroidered Viscose Panjabi,As low asTk 651.16,"['Viscose', 'Hand Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Clean With Soft Dry Brush And Keep It In a Dry Place']",Copper viscose panjabi with red and golden embroidery detailing. Features in-seam side pockets.
Pink Check Printed and Embroidered Silk Panjabi,"As low asTk 1,483.72","['Silk', 'Hand Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Dry Clean']",Pink and grey check printed silk panjabi with blue and silver embroidery detailing. Features in-seam side pockets.
Navy Blue Printed Cotton Coaty,As low asTk 693.02,"['Cotton', 'Band Collar', 'Front Pocket', 'Sleeveless', 'Short', 'Dry Clean']",Navy blue cotton coaty with red check prints. Features pockets.
Salmon Pink Embroidered Viscose-Cotton Panjabi,As low asTk 604.65,"['Viscott (Viscose & Cotton)', 'Hand Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Clean With Soft Dry Brush And Keep It In a Dry Place']",Salmon pink viscose-cotton panjabi with purple and plum embroidery. Features in-seam side pockets.
Blue Striped Embroidered Viscose-Cotton Panjabi,As low asTk 558.14,"['Viscott (Viscose & Cotton)', 'Band Collar', 'Side Pocket', 'Side Open', 'Roll Tab Full Sleeve', 'Long', 'Clean With Soft Dry Brush And Keep It In a Dry Place']",Shades of blue striped viscose-cotton panjabi. Features in-seam side pockets.
Blue Embroidered Viscose Panjabi,As low asTk 730.23,"['Viscose', 'Hand Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Clean With Soft Dry Brush And Keep It In a Dry Place']","Blue viscose panjabi with turquoise, purple and green embroidery. Features in-seam side pockets."
Olive Printed Cotton Coaty,As low asTk 786.05,"['Cotton', 'Screen Print', 'Band Collar', 'Sleeveless', 'Short', 'Clean With Soft Dry Brush And Keep It In a Dry Place']",Olive cotton coaty with coffee and turquoise prints. Features pockets.
Sky Blue Cotton T-Shirt,As low asTk 381.40,"['Single Jersey Knit Cotton', '180 Approx.', 'Round Neck', 'Chest Pocket', 'Half Sleeve', 'Hand Wash With Mild Detergent In Cold Water']",Sky blue knit cotton t-shirt. Features chest pocket and rib-knit round neck.
Dusty Pink Printed Cotton T-Shirt,As low asTk 460.47,"['Cotton', 'Screen Print', '180 Approx.', 'Round Neck', 'Half Sleeve', 'Hand Wash With Mild Detergent In Cold Water']",Dusty pink single jersey knit cotton t-shirt with black prints.
Black Printed And Embroidered Cotton Skirt Top Set.,As low asTk 809.30,"['Cotton', 'Machine Embroidery', 'Layered Skirt', 'Medium', 'V Neck', 'Butterfly Sleeve', 'Short', 'Elastic Waist', 'Hand Wash With Mild Detergent In Cold Water']",Black printed cotton top with white and peach embroidery. Comes with peach and white check cotton skirt.
Yellow Printed And Embroidered Mixed Cotton Skirt Top Set,As low asTk 818.60,"['Mixed Cotton', 'Machine Embroidery', 'Flared Skirt', 'Medium', 'Round Neck', 'Butterfly Sleeve', 'Short', 'Elastic Waist', 'Hand Wash With Mild Detergent In Cold Water']",Yellow printed mixed cotton top with maroon embroidery. Comes with yellow printed mixed cotton skirt
Deep Pink Printed And Embroidered linen Skirt Top Set,As low asTk 762.79,"['Linen', 'Machine Embroidery', 'Flared Skirt', 'Medium', 'Shirt Collar', 'Puff Sleeve', 'Short', 'Elastic Waist', 'Hand Wash With Mild Detergent In Cold Water']",Deep pink printed linen top with magenta embroidery. Comes with multicolour printed linen skirt.
Dusty Pink Printed And Embroidered Mixed Cotton Frock,As low asTk 897.67,"['Mixed Cotton', 'Machine Embroidery', 'Frill Collar', 'Half Sleeve', 'Long', 'Hand Wash With Mild Detergent In Cold Water']",Dusty pink printed mixed cotton frock with brown embroidery
Salmon Pink Printed And Embroidered Linen Ghagra Choli Set,"As low asTk 1,697.67","['Linen', 'Machine Embroidery', 'Flared Skirt', 'Ankle Length', 'Band Collar', 'Half Sleeve', 'Short', 'Elastic Waist', 'Hand Wash With Mild Detergent In Cold Water']","Salmon pink printed linen choli with red, magenta and orange embroidery. Comes with matching printed linen shalwar and white, red, blue tie-dyed georgette dupatta."
Light Pink Printed And Embroidered Linen Ghagra Choli With Coaty,"As low asTk 1,688.37","['Linen', 'Hand Embroidery', 'Palazzo', 'Long', 'Square Neck', 'Short Sleeve', 'Short', 'Elastic Waist', 'Hand Wash With Mild Detergent In Cold Water']",Light pink tie-dye printed linen choli with magenta and silver embroidery. Comes with matching printed linen ghagra and matching tie-dyed linen coaty.
Navy Blue/Yellow Printed And Embroidered Linen Shalwar Kameez Set,"As low asTk 1,706.98","['Linen', 'Machine Embroidery', 'Palazzo', 'Long', 'Round Neck', '3-Quarter Sleeve', 'Long', 'Elastic Waist', 'Hand Wash With Mild Detergent In Cold Water']","Navy blue-yellow printed linen kameez with plum, mustard, blue and grey embroidery. Comes with navy blue linen shalwar and magenta printed georgette dupatta."
White Printed And Embroidered Mixed Cotton Shalwar Kameez Set,"As low asTk 1,865.12","['Mixed Cotton', 'Machine Embroidery', 'Sharara Pants', 'Long', 'Round Neck', '3-Quarter Sleeve', 'Long', 'Elastic Waist', 'Hand Wash With Mild Detergent In Cold Water']","White printed mixed cotton kameez with coral, turquoise and golden embroidery. Comes with white printed cotton shalwar and turquoise tie-dyed georgette dupatta."
Light Peach Embroidered Linen Shalwar Kameez Set,"As low asTk 1,451.16","['Linen', 'Machine Embroidery', 'Dhoti Shalwar', 'Long', 'Boat Neck', '3-Quarter Sleeve', 'Long', 'Elastic Waist', 'Hand Wash With Mild Detergent In Cold Water']","Light peach textured linen frock with peach, golden, pink and purple embroidery. Comes with matching linen shalwar and pink dyed georgette dupatta."
Peach Printed And Embroidered Linen Shalwar Kameez Set,"As low asTk 1,400.00","['Linen', 'Machine Embroidery', 'Gharara Pants', 'Long', 'Round Neck', '3-Quarter Sleeve', 'Long', 'Elastic Waist', 'Hand Wash With Mild Detergent In Cold Water']",Peach printed linen kameez with silver and golden embroidery. Comes with matching printed voile shalwar and matching tie-dyed chiffon dupatta
Mint Printed And Embroidered Linen Shalwar Kameez Set,"As low asTk 1,651.16","['Linen', 'Machine Embroidery', 'Palazzo', 'Long', 'Round Neck', '3-Quarter Sleeve', 'Long', 'Elastic Waist', 'Hand Wash With Mild Detergent In Cold Water']","Mint printed linen kameez with white, yellow and green embroidery. Comes with matching mint linen shalwar and white printed georgette dupatta"
Deep Pink Printed And Embroidered Linen Shalwar Kameez Set,"As low asTk 1,479.07","['Linen', 'Machine Embroidery', 'Palazzo', 'Long', 'Round Neck', 'Sleeveless', 'Long', 'Elastic Waist', 'Hand Wash With Mild Detergent In Cold Water']",Deep pink printed linen kameez with golden embroidery. Comes with matching printed linen shalwar and magenta tie-dyed chiffon dupatta
Magenta Printed Mix Cotton Frock,"As low asTk 1,120.93","['Mixed Cotton', 'Screen Print', 'Square Neck', 'Sleeveless', 'Long', 'Hand Wash With Mild Detergent In Cold Water']","Magenta cotton frock with white, orange, pink and brown print."
Pink Embroidered Mixed Cotton Frock,"As low asTk 1,897.67","['Mixed Cotton', 'Machine Embroidery', 'Round Neck', 'Cap Sleeve', 'Long', 'Hand Wash With Mild Detergent In Cold Water']",Pink textured mixed cotton frock with shades of pink embroidery
Red Printed Party Wear Katan Frock,"As low asTk 2,116.28","['Katan', 'Round Neck', 'Puff Sleeve', 'Long', 'Dry Clean']",Red katan party wear frock with golden prints.
Maroon Embroidered Mixed Cotton Party Frock,"As low asTk 2,190.70","['Mixed Cotton', 'Machine Embroidery', 'Round Neck', 'Cap Sleeve', 'Long', 'Hand Wash With Mild Detergent In Cold Water']",Maroon mixed cotton party frock with floral embroidery.
Plum Embroidered Mixed Cotton Frock,"As low asTk 1,613.95","['Mixed Cotton', 'Machine Embroidery', 'Round Neck', 'Cap Sleeve', 'Long', 'Hand Wash With Mild Detergent In Cold Water']",Plum mixed cotton frock with purple embroidery
Plum Satin Party Shirt,As low asTk 711.63,"['Satin', 'Shirt Collar', 'Full Sleeve', 'Clean With Soft Dry Brush And Keep It In a Dry Place']",Plum textured satin party shirt.
Dark Wine Textured Cotton Party Shirt,"As low asTk 1,260.47","['Jacquard Cotton', 'Shirt Collar', 'Full Sleeve', 'Clean With Soft Dry Brush And Keep It In a Dry Place']",Dark wine and red jacquard textured cotton party shirt.
Ecru Printed Endi Silk Panjabi with Coaty,"As low asTk 4,046.51","['Endi Silk', 'Screen Print', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Dry Clean']","Ecru endi silk panjabi with black, blue and grey prints. Comes with matching printed coaty."
Purple/Navy Blue Striped and Printed Silk Panjabi Pajama Set,"As low asTk 2,795.35","['Silk', 'Screen Print', 'Pant One Cut', 'Long', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Elastic Waist', 'Dry Clean']","Purple and navy blue striped silk panjabi with black prints. Comes with white ramie cotton pajama. Features elastic waist, drawstring and in-seam side pockets."
Maroon Embroidered Suede Velvet Purse,"Tk 1,090.48","['Erri Embroidery', 'Magnetic Snap Flap', 'Fabric', '23', '5', '11.5', 'CM', 'Velvet Fabric', 'Single', 'Clean With Soft Dry Brush And Keep It In a Dry Place']",Maroon suede velvet purse with matching embroidery. Features magnet closure.
Green Katan Fabric Purse,Tk 504.76,"['Green', 'Katan Fabric', '10.5', '29', '5.5', 'Inner Zipped Pocket', 'Magnetic Snap Flap', 'Gabardine Fabric', 'Without Strap', 'CM', 'Clean With Soft Dry Brush After Using']",Green and golden katan fabric purse with magnetic flap. Contains one chambers and a zip pocket.
Blue Printed and Erri Embroidered Purse,Tk 904.76,"['Blue', 'Chosha Silk', 'Erri Embroidery, Foil Print, Sequin', '12', '30', '4', 'Inner Zipped Pocket', 'Magnetic Snap Flap', 'CM', 'Brush Regularly After Using']","Blue and metallic golden foil printed mixed silk chosha purse with erri embroidery, beads and sequin detailing."
Brick Red Genuine Leather Purse,"Tk 1,023.81","['Magnetic Snap Flap', '25.5', '3.5', '11.5', 'Inner Zipped Pocket', 'Wipe With Soft, Dry Cloth After Using']",Brick red genuine leather purse with laser cut detailing.
